Target,Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2,RMSE($),MAPE_thr(%),RMSE_thr($),Pass
DO 0.05%,Ridge (Linear),15,9.8435,22.9281,7.3988,7.9657,0.4925,22.9281,5.0,2.0,False
DO 0.05%,LightGBM,15,12.9514,28.7689,9.7838,11.2409,0.201,28.7689,5.0,2.0,False
DO 0.05%,LSTM,15,14.6017,30.2098,11.3207,12.9758,0.1285,30.2098,5.0,2.0,False
DO 0.05%,iTransformer,15,14.3193,32.7598,10.523,12.136,-0.0249,32.7598,5.0,2.0,False
DO 0.05%,GUMNet-Lite,15,14.8599,32.2931,11.4104,13.3779,0.0041,32.2931,5.0,2.0,False
DO 0.05%,GUMNet-Ultra,15,12.293,29.524,9.154,10.32,0.1676,29.524,5.0,2.0,False
DO 0.05%,ARIMAX,20,9.2306,21.5074,6.8524,6.7175,0.5704,21.5074,5.0,2.0,False
DO 0.05%,SARIMA,20,13.3176,30.367,9.8865,10.4673,0.1436,30.367,5.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,20,9.0105,21.0254,6.7439,6.6096,0.5732,21.0254,5.0,2.0,False
DO 0.05%,Ridge (Linear),20,11.4389,26.7681,8.5536,9.2896,0.3083,26.7681,5.0,2.0,False
DO 0.05%,LightGBM,20,12.9972,30.6739,9.4227,10.9849,0.0917,30.6739,5.0,2.0,False
DO 0.05%,LSTM,20,14.7384,30.836,11.5149,13.1052,0.0958,30.836,5.0,2.0,False
DO 0.05%,iTransformer,20,18.4715,36.4337,14.7891,16.4586,-0.2623,36.4337,5.0,2.0,False
DO 0.05%,GUMNet-Lite,20,14.2353,34.4597,10.0843,12.1323,-0.1293,34.4597,5.0,2.0,False
DO 0.05%,GUMNet-Ultra,20,14.8242,33.3764,11.0819,12.5795,-0.0594,33.3764,5.0,2.0,False
DO 0.05%,ARIMAX,30,9.5552,21.0647,7.2095,7.3519,0.5964,21.0647,,2.0,False
DO 0.05%,SARIMA,30,14.5615,33.4446,10.7751,12.0487,-0.0173,33.4446,,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,30,9.624,21.0734,7.3876,7.5036,0.5722,21.0734,,2.0,False
DO 0.05%,Ridge (Linear),30,13.8363,31.4209,10.4822,11.5036,0.049,31.4209,,2.0,False
DO 0.05%,LightGBM,30,13.2001,33.0011,9.2046,10.8956,-0.0491,33.0011,,2.0,False
DO 0.05%,LSTM,30,17.8164,35.8716,13.9955,16.2668,-0.2211,35.8716,,2.0,False
DO 0.05%,iTransformer,30,19.359,37.987,15.6954,17.1688,-0.3694,37.987,,2.0,False
DO 0.05%,GUMNet-Lite,30,19.269,37.1871,15.4839,18.5581,-0.3123,37.1871,,2.0,False
DO 0.05%,GUMNet-Ultra,30,16.8028,34.796,13.0732,15.1145,-0.149,34.796,,2.0,False
DO 0.05%,ARIMAX,60,8.8359,19.1136,6.9187,7.3807,0.6873,19.1136,,2.0,False
DO 0.05%,SARIMA,60,17.5057,38.1268,12.7506,15.0811,-0.2441,38.1268,,2.0,False
